Response,df,sumsq,meansq,statistic,p.value,Significance
plant_height_cm,4,16.933333333333348,4.233333333333337,7.937500000000009,0.006882403418285928,**
shoot_dry_weight_g,4,11.932226666666669,2.983056666666667,0.6419452961668721,0.6476133619464783,ns
shoot_fresh_weight_g,4,249.33333333333306,62.333333333333265,2.288861689106483,0.14823414253831274,ns
root_fresh_weight_g,4,2.079773333333336,0.519943333333334,2.2528036742033106,0.15255218240374407,ns
root_dry_weight_g,4,1.6621333333333341,0.41553333333333353,8.629378374636579,0.005323637857499309,**
pod_fresh_weight_g,4,306.1840000000003,76.54600000000008,84.1627267729519,1.4245306337458294e-6,***
pod_dry_weight_g,4,20.67733333333335,5.169333333333338,3.7875198436927624,0.05159224182613702,.
pods_per_plant,4,6.9333333333333345,1.7333333333333336,1.8571428571428579,0.2115048902331026,ns
grains_per_pod,4,2882.266666666667,720.5666666666667,110.5728900255755,4.91063669843789e-7,***
pod_length_cm,4,13.667306666666681,3.4168266666666702,4.607205781884869,0.03181238730997326,*
grain_k_pct,4,0.20247800000000002,0.050619500000000005,50.513421814190224,1.0199307426924607e-5,***
plant_k_pct,4,0.6088226666666667,0.15220566666666668,395.117033703978,3.203779364584086e-9,***
plant_n_pct,4,0.6402533999999998,0.16006334999999994,50.31305121083061,1.0355223361763897e-5,***
grain_n_pct,4,0.1951836000000002,0.04879590000000005,10.0988027360121,0.003239796884357887,**
plant_p_pct,4,0.006875733333333339,0.0017189333333333349,10.205422521274503,0.003132231634715094,**
grain_p_pct,4,0.06381226666666666,0.015953066666666665,274.9738580867566,1.351508537817851e-8,***
